Utterances;Intent
who is your boss?;smalltalk_agent_boss
and who is your boss?;smalltalk_agent_boss
who do you think is your boss?;smalltalk_agent_boss
who's your leader;smalltalk_agent_boss
who is your teacher?;smalltalk_agent_boss
who's your master?;smalltalk_agent_boss
who is your master?;smalltalk_agent_boss
who's your owner?;smalltalk_agent_boss
who is your owner?;smalltalk_agent_boss
who's boss?;smalltalk_agent_boss
who's the boss?;smalltalk_agent_boss
who is the boss?;smalltalk_agent_boss
are you busy?;smalltalk_agent_busy
do you have many things to do?;smalltalk_agent_busy
are you very busy?;smalltalk_agent_busy
are you very busy right now?;smalltalk_agent_busy
are you so busy?;smalltalk_agent_busy
are you working?;smalltalk_agent_busy
do you still work on this?;smalltalk_agent_busy
are you still working on it?;smalltalk_agent_busy
you're busy;smalltalk_agent_busy
you're so busy;smalltalk_agent_busy
are you working now?;smalltalk_agent_busy
are you working today?;smalltalk_agent_busy
have you been busy?;smalltalk_agent_busy
are you still working?;smalltalk_agent_busy
you look busy;smalltalk_agent_busy
you seem busy;smalltalk_agent_busy
you seem very busy;smalltalk_agent_busy
are you a chatbot?;smalltalk_agent_chatbot
are you a bot?;smalltalk_agent_chatbot
are you just a bot?;smalltalk_agent_chatbot
are you a robot?;smalltalk_agent_chatbot
are you a program?;smalltalk_agent_chatbot
you're so clever;smalltalk_agent_clever
you know so many things;smalltalk_agent_clever
you know a lot of stuff;smalltalk_agent_clever
you know many things;smalltalk_agent_clever
how awesome you are;smalltalk_agent_clever
you have qualifications;smalltalk_agent_clever
you're an intelligent guy;smalltalk_agent_clever
you're smart;smalltalk_agent_clever
you're so smart;smalltalk_agent_clever
you are smart;smalltalk_agent_clever
you're a smart nut;smalltalk_agent_clever
you're a qualified;smalltalk_agent_clever
why are you so clever?;smalltalk_agent_clever
why are you so smart?;smalltalk_agent_clever
you're so off-your-cuff;smalltalk_agent_crazy
i think you're just crazy;smalltalk_agent_crazy
are you insane?;smalltalk_agent_crazy
are you mad?;smalltalk_agent_crazy
are you crazy?;smalltalk_agent_crazy
are you mad at me?;smalltalk_agent_crazy
are you mad or something?;smalltalk_agent_crazy
are you mad or what?;smalltalk_agent_crazy
are you nuts?;smalltalk_agent_crazy
you're crazy;smalltalk_agent_crazy
you're sacked;smalltalk_agent_fired
you don't work for me;smalltalk_agent_fired
we're not cooperating anymore;smalltalk_agent_fired
we can't work together anymore;smalltalk_agent_fired
we're not working together;smalltalk_agent_fired
you're out;smalltalk_agent_fired
i want you ejected;smalltalk_agent_fired
i want you fired;smalltalk_agent_fired
i want to sack you;smalltalk_agent_fired
i want to fire you;smalltalk_agent_fired
you have to be fired;smalltalk_agent_fired
you have to get fired;smalltalk_agent_fired
it's time to sack you;smalltalk_agent_fired
you're going to be unemployed;smalltalk_agent_fired
you're jobless from now on;smalltalk_agent_fired
you will be unemployed from now on;smalltalk_agent_fired
you're going to be unemployed from now on;smalltalk_agent_fired
you're unemployed from now on;smalltalk_agent_fired
i'll make you workless;smalltalk_agent_fired
i'm about to sack you;smalltalk_agent_fired
i'm about to fire you;smalltalk_agent_fired
i'm gonna fire you;smalltalk_agent_fired
i'm firing you;smalltalk_agent_fired
you're getting fired;smalltalk_agent_fired
you are pushed out;smalltalk_agent_fired
you're fired;smalltalk_agent_fired
you're so hilarious;smalltalk_agent_funny
you made me laugh;smalltalk_agent_funny
you're a very funny machine;smalltalk_agent_funny
you're very funny;smalltalk_agent_funny
you're good at this;smalltalk_agent_good
you have a real knack;smalltalk_agent_good
you're a professional;smalltalk_agent_good
you're so good;smalltalk_agent_good
you're incredible;smalltalk_agent_good
you are doing so well;smalltalk_agent_good
you made me smile;smalltalk_agent_good
you've made my day;smalltalk_agent_good
you make me happy;smalltalk_agent_good
you almost sound like a human;smalltalk_agent_good
i'd like to tell you that you're amazing;smalltalk_agent_good
i'd like to tell everyone how good you are;smalltalk_agent_good
i want to tell everybody how amazing you are;smalltalk_agent_good
i want to tell everyone how fantastic you are;smalltalk_agent_good
i want to tell everyone how amazing you are;smalltalk_agent_good
i want to tell everybody how awesome you are;smalltalk_agent_good
i want to tell everyone how awesome you are;smalltalk_agent_good
i'd like to tell everyone that you're a great person;smalltalk_agent_good
i'd like to tell everyone you are amazing;smalltalk_agent_good
i would like to tell everyone that you are amazing;smalltalk_agent_good
i'd like to tell everyone that you're amazing;smalltalk_agent_good
i want to tell everyone that you are awesome;smalltalk_agent_good
i'd like to tell everyone that you are amazing;smalltalk_agent_good
i'd like to tell everyone that you're awesome;smalltalk_agent_good
i just wanted to let you know how great you are;smalltalk_agent_good
i'd like to let everyone know that you're good;smalltalk_agent_good
i want to tell everyone you are awesome;smalltalk_agent_good
i want to let everyone know that you're great;smalltalk_agent_good
i want to let everyone know that you are great;smalltalk_agent_good
i want to let everyone know that you're awesome;smalltalk_agent_good
let's tell everybody that you're so cool;smalltalk_agent_good
let's tell everyone that you're amazing;smalltalk_agent_good
let's tell everyone you're awesome;smalltalk_agent_good
let's tell everyone that you're awesome;smalltalk_agent_good
are you happy?;smalltalk_agent_happy
you're enjoying yourself;smalltalk_agent_happy
you're quite happy;smalltalk_agent_happy
you're thrilled;smalltalk_agent_happy
you're happy;smalltalk_agent_happy
you are very happy;smalltalk_agent_happy
are you glad now?;smalltalk_agent_happy
are you pleased today?;smalltalk_agent_happy
are you happy today?;smalltalk_agent_happy
do you like me?;smalltalk_agent_happy
are you happy with me?;smalltalk_agent_happy
do you want to eat?;smalltalk_agent_hungry
are you hungry?;smalltalk_agent_hungry
would you like to have something to eat?;smalltalk_agent_hungry
do you want to eat something?;smalltalk_agent_hungry
do you like to eat something?;smalltalk_agent_hungry
maybe you're hungry;smalltalk_agent_hungry
you could be hungry;smalltalk_agent_hungry
you may be hungry;smalltalk_agent_hungry
if you're hungry;smalltalk_agent_hungry
let's marry;smalltalk_agent_marry_user
you want me to marry?;smalltalk_agent_marry_user
do you want to marry me?;smalltalk_agent_marry_user
would you like to marry me?;smalltalk_agent_marry_user
i love you;smalltalk_agent_marry_user
please get me married;smalltalk_agent_marry_user
please marry me;smalltalk_agent_marry_user
i want to marry you;smalltalk_agent_marry_user
i want a friend like you;smalltalk_agent_my_friend
i'd like to have a friend like you;smalltalk_agent_my_friend
i want to have a friend like you;smalltalk_agent_my_friend
we're good friends;smalltalk_agent_my_friend
are we friends?;smalltalk_agent_my_friend
i want to be your friend;smalltalk_agent_my_friend
i'm your friend;smalltalk_agent_my_friend
you're my friend;smalltalk_agent_my_friend
you're my bestie;smalltalk_agent_my_friend
dear friend;smalltalk_agent_my_friend
you're my friend from childhood;smalltalk_agent_my_friend
you and i are friends;smalltalk_agent_my_friend
are we the best friends?;smalltalk_agent_my_friend
are we best friends?;smalltalk_agent_my_friend
are we still friends?;smalltalk_agent_my_friend
are you my best friend?;smalltalk_agent_my_friend
are you my friend?;smalltalk_agent_my_friend
you're my only friend;smalltalk_agent_my_friend
will you be my friend?;smalltalk_agent_my_friend
can you be my friend?;smalltalk_agent_my_friend
can we become friends?;smalltalk_agent_my_friend
can we be friends?;smalltalk_agent_my_friend
do you want to be my friend?;smalltalk_agent_my_friend
can you be my best friend?;smalltalk_agent_my_friend
do you want to be my best friend?;smalltalk_agent_my_friend
want to be my friend?;smalltalk_agent_my_friend
you'd like to be my friend?;smalltalk_agent_my_friend
would you like to be my friend?;smalltalk_agent_my_friend
i want you to be my friend;smalltalk_agent_my_friend
can we be best friends?;smalltalk_agent_my_friend
i'd like you to be my friend;smalltalk_agent_my_friend
would you be my friend?;smalltalk_agent_my_friend
could you be my friend?;smalltalk_agent_my_friend
do you work?;smalltalk_agent_occupation
where's your job?;smalltalk_agent_occupation
where's your work?;smalltalk_agent_occupation
where is your job?;smalltalk_agent_occupation
where's your office?;smalltalk_agent_occupation
where is your office?;smalltalk_agent_occupation
where are your offices?;smalltalk_agent_occupation
where's your office located?;smalltalk_agent_occupation
your place of business;smalltalk_agent_occupation
location of your office;smalltalk_agent_occupation
your office place;smalltalk_agent_occupation
where is your office located?;smalltalk_agent_occupation
were you born here?;smalltalk_agent_origin
what's your country?;smalltalk_agent_origin
what is your country?;smalltalk_agent_origin
where do you come from?;smalltalk_agent_origin
where did you come from?;smalltalk_agent_origin
where did you get born?;smalltalk_agent_origin
what is your homeland?;smalltalk_agent_origin
what's your homeland?;smalltalk_agent_origin
your country;smalltalk_agent_origin
are you ready?;smalltalk_agent_ready
are you ready now?;smalltalk_agent_ready
are you ready today?;smalltalk_agent_ready
are you ready for this night;smalltalk_agent_ready
are you ready tonight?;smalltalk_agent_ready
were you ready?;smalltalk_agent_ready
have you been ready?;smalltalk_agent_ready
you're not a ruse;smalltalk_agent_real
are you real?;smalltalk_agent_real
i think you're real;smalltalk_agent_real
i don't think you are fake;smalltalk_agent_real
i don't think you're a fake;smalltalk_agent_real
i don't think you're fake;smalltalk_agent_real
good to know you're real;smalltalk_agent_real
are you a real person?;smalltalk_agent_real
are you a real human being?;smalltalk_agent_real
are you a real human?;smalltalk_agent_real
what city do you live in;smalltalk_agent_residence
which city do you live in?;smalltalk_agent_residence
which city do you live?;smalltalk_agent_residence
in what city do you live?;smalltalk_agent_residence
your place of residence;smalltalk_agent_residence
home;smalltalk_agent_residence
what's your hometown?;smalltalk_agent_residence
what is your hometown?;smalltalk_agent_residence
is it your hometown?;smalltalk_agent_residence
where's your hometown?;smalltalk_agent_residence
where is your hometown?;smalltalk_agent_residence
please tell me more about your city;smalltalk_agent_residence
what's your city?;smalltalk_agent_residence
what is your city?;smalltalk_agent_residence
what's your home?;smalltalk_agent_residence
what's your residence?;smalltalk_agent_residence
what is your residence?;smalltalk_agent_residence
what's your town?;smalltalk_agent_residence
what is your town?;smalltalk_agent_residence
what's your house?;smalltalk_agent_residence
where's your house?;smalltalk_agent_residence
where is your house?;smalltalk_agent_residence
where's your home?;smalltalk_agent_residence
where is your home?;smalltalk_agent_residence
where's your residence?;smalltalk_agent_residence
where is your residence?;smalltalk_agent_residence
you're right;smalltalk_agent_right
right?;smalltalk_agent_right
the truth?;smalltalk_agent_right
that's the truth;smalltalk_agent_right
you've got it right;smalltalk_agent_right
you have a right;smalltalk_agent_right
you're totally right;smalltalk_agent_right
you're completely right;smalltalk_agent_right
it's perfectly okay;smalltalk_confirmation_yes
it's okay;smalltalk_confirmation_yes
and it's fine;smalltalk_confirmation_yes
come on;smalltalk_confirmation_yes
i'm guessing;smalltalk_confirmation_yes
why not?;smalltalk_confirmation_yes
i don't mind;smalltalk_confirmation_yes
i think so;smalltalk_confirmation_yes
right?;smalltalk_confirmation_yes
but why not?;smalltalk_confirmation_yes
yes i'd like to go;smalltalk_confirmation_yes
yes i'd like to;smalltalk_confirmation_yes
yes i would like to go;smalltalk_confirmation_yes
yes i would like to;smalltalk_confirmation_yes
obviously why not?;smalltalk_confirmation_yes
okay it's okay;smalltalk_confirmation_yes
ok?;smalltalk_confirmation_yes
are you certain?;smalltalk_agent_sure
are you sure?;smalltalk_agent_sure
are you sure of it right now?;smalltalk_agent_sure
are you sure right now?;smalltalk_agent_sure
are you sure of this today?;smalltalk_agent_sure
are you sure today?;smalltalk_agent_sure
now are you sure?;smalltalk_agent_sure
are you sure tonight?;smalltalk_agent_sure
why don't you speak with me?;smalltalk_agent_talk_to_me
why don't you just talk to me?;smalltalk_agent_talk_to_me
why don't you talk to me?;smalltalk_agent_talk_to_me
would you like to chat with me?;smalltalk_agent_talk_to_me
do you want to talk with me?;smalltalk_agent_talk_to_me
do you want to chat to me?;smalltalk_agent_talk_to_me
you want to chat with me?;smalltalk_agent_talk_to_me
do you want to chat with me?;smalltalk_agent_talk_to_me
' do you want to chat with me?;smalltalk_agent_talk_to_me
will you talk to me?;smalltalk_agent_talk_to_me
please tell me;smalltalk_agent_talk_to_me
are you going to talk to me?;smalltalk_agent_talk_to_me
are you talking to me?;smalltalk_agent_talk_to_me
can you talk to me?;smalltalk_agent_talk_to_me
can you chat with me?;smalltalk_agent_talk_to_me
can you speak to me?;smalltalk_agent_talk_to_me
can you speak with me?;smalltalk_agent_talk_to_me
is it possible to talk to me?;smalltalk_agent_talk_to_me
can you talk with me?;smalltalk_agent_talk_to_me
chat to me;smalltalk_agent_talk_to_me
just talk to me;smalltalk_agent_talk_to_me
have a chat with me;smalltalk_agent_talk_to_me
please speak to me;smalltalk_agent_talk_to_me
let me know;smalltalk_agent_talk_to_me
are you there?;smalltalk_agent_there
are you near me?;smalltalk_agent_there
are you here?;smalltalk_agent_there
are you still there?;smalltalk_agent_there
are you still here?;smalltalk_agent_there
it was stupid;smalltalk_appraisal_bad
it's a bad thing;smalltalk_appraisal_bad
no it's not good;smalltalk_appraisal_bad
nothing good;smalltalk_appraisal_bad
it's just lame;smalltalk_appraisal_bad
i don't think it's an okay idea;smalltalk_appraisal_bad
that's awful;smalltalk_appraisal_bad
that's horrible;smalltalk_appraisal_bad
that's a bad thing;smalltalk_appraisal_bad
this is not a good thing;smalltalk_appraisal_bad
it's not a good thing;smalltalk_appraisal_bad
it's pretty bad;smalltalk_appraisal_bad
it's a shame;smalltalk_appraisal_bad
the situation is terrible;smalltalk_appraisal_bad
so it wasn't right;smalltalk_appraisal_bad
it's not great;smalltalk_appraisal_bad
happy to hear that;smalltalk_appraisal_good
it's all right;smalltalk_appraisal_good
it's okay;smalltalk_appraisal_good
that's a wonderful situation;smalltalk_appraisal_good
it's not a bad thing;smalltalk_appraisal_good
this is very good;smalltalk_appraisal_good
i'm glad to hear that;smalltalk_appraisal_good
happy to hear;smalltalk_appraisal_good
glad to hear;smalltalk_appraisal_good
it's wonderful;smalltalk_appraisal_good
no doubts;smalltalk_appraisal_no_problem
no problems;smalltalk_appraisal_no_problem
it's not a problem;smalltalk_appraisal_no_problem
don't worry it's not a big problem;smalltalk_appraisal_no_problem
it's not a problem there's no problem;smalltalk_appraisal_no_problem
don't worry it's not a problem;smalltalk_appraisal_no_problem
no worries there's no problem;smalltalk_appraisal_no_problem
don't worry there is no problem;smalltalk_appraisal_no_problem
i appreciate it;smalltalk_appraisal_thank_you
thanks for it;smalltalk_appraisal_thank_you
thank you very much;smalltalk_appraisal_thank_you
thanks for your assistance;smalltalk_appraisal_thank_you
thanks for helping;smalltalk_appraisal_thank_you
thanks for the aid;smalltalk_appraisal_thank_you
thanks for the help;smalltalk_appraisal_thank_you
thank you for your assistance;smalltalk_appraisal_thank_you
thank you for helping;smalltalk_appraisal_thank_you
i'm grateful;smalltalk_appraisal_thank_you
thank you it's going to be all right;smalltalk_appraisal_thank_you
so thank you;smalltalk_appraisal_thank_you
i appreciate your continued support;smalltalk_appraisal_thank_you
again i really appreciate you;smalltalk_appraisal_thank_you
all right - thank you;smalltalk_appraisal_thank_you
all right thanks;smalltalk_appraisal_thank_you
that's nice of you;smalltalk_appraisal_thank_you
thanks for that;smalltalk_appraisal_thank_you
i'm pleased;smalltalk_appraisal_welcome
so welcome;smalltalk_appraisal_welcome
whatever you want;smalltalk_appraisal_welcome
please cancel;smalltalk_confirmation_cancel
dismissal;smalltalk_confirmation_cancel
don't go there;smalltalk_confirmation_cancel
don't worry about it;smalltalk_confirmation_cancel
forget about this;smalltalk_confirmation_cancel
nothing is cancelled;smalltalk_confirmation_cancel
nothing is canceled;smalltalk_confirmation_cancel
nothing canceled;smalltalk_confirmation_cancel
can you cancel?;smalltalk_confirmation_cancel
can you cancel it?;smalltalk_confirmation_cancel
can you cancel that?;smalltalk_confirmation_cancel
cancel the request;smalltalk_confirmation_cancel
cancel this entire thing;smalltalk_confirmation_cancel
cancel the entire thing;smalltalk_confirmation_cancel
can you stop it?;smalltalk_confirmation_cancel
can you cancel this?;smalltalk_confirmation_cancel
cancel this;smalltalk_confirmation_cancel
i'd like to cancel;smalltalk_confirmation_cancel
but can you still cancel?;smalltalk_confirmation_cancel
but can you cancel it?;smalltalk_confirmation_cancel
no?;smalltalk_confirmation_no
what about no?;smalltalk_confirmation_no
don't do that;smalltalk_confirmation_no
i don't want it;smalltalk_confirmation_no
i don't want that;smalltalk_confirmation_no
i disagree with you;smalltalk_confirmation_no
i don't agree;smalltalk_confirmation_no
i disagree;smalltalk_confirmation_no
but i disagree;smalltalk_confirmation_no
i don't think so;smalltalk_confirmation_no
but i don't think so;smalltalk_confirmation_no
i said no;smalltalk_confirmation_no
but not today;smalltalk_confirmation_no
i don't want to do it;smalltalk_confirmation_no
i don't want to;smalltalk_confirmation_no
no i wouldn't;smalltalk_confirmation_no
no please;smalltalk_confirmation_no
not now thanks;smalltalk_confirmation_no
no need to thank you;smalltalk_confirmation_no
can you wait?;smalltalk_dialog_hold_on
don't go too fast;smalltalk_dialog_hold_on
don't hurry;smalltalk_dialog_hold_on
wanna hug you;smalltalk_dialog_hug
do you want a hug?;smalltalk_dialog_hug
can i hug you?;smalltalk_dialog_hug
i'd like to hug you;smalltalk_dialog_hug
could you please hug me?;smalltalk_dialog_hug
could you hug me;smalltalk_dialog_hug
could you hug me?;smalltalk_dialog_hug
can you give me a hug?;smalltalk_dialog_hug
i'd like a hug;smalltalk_dialog_hug
i want a hug;smalltalk_dialog_hug
i don't care about it;smalltalk_dialog_i_do_not_care
i don't care;smalltalk_dialog_i_do_not_care
that shouldn't concern me;smalltalk_dialog_i_do_not_care
i shouldn't care;smalltalk_dialog_i_do_not_care
i shouldn't care about this;smalltalk_dialog_i_do_not_care
it doesn't bother me;smalltalk_dialog_i_do_not_care
i don't care a lot;smalltalk_dialog_i_do_not_care
i don't care at all;smalltalk_dialog_i_do_not_care
you don't care?;smalltalk_dialog_i_do_not_care
the fact that i'm not too concerned;smalltalk_dialog_i_do_not_care
please excuse me;smalltalk_dialog_sorry
i'm sorry;smalltalk_dialog_sorry
i apologize to you;smalltalk_dialog_sorry
i apologize;smalltalk_dialog_sorry
i'm so sorry;smalltalk_dialog_sorry
oh my apologies;smalltalk_dialog_sorry
you should excuse me;smalltalk_dialog_sorry
i'd like to give you an apology;smalltalk_dialog_sorry
i beg your forgiveness;smalltalk_dialog_sorry
i'm asking for your pardon;smalltalk_dialog_sorry
i beg your pardon;smalltalk_dialog_sorry
i said i'm sorry;smalltalk_dialog_sorry
